# tauvisc_Myr, Mstar_Msol, FUV_G0, Mdisc_Msol, Rscale_au, alphavisc, Tdisp_Myr
1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+04,5.000000000000000278e-02,4.000000000000000000e+01,7.636753236814714137e-03,4.809150131665563266e-01
1.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+01,8.000000000000001554e-02,4.000000000000000000e+01,6.037383539249432766e-03,1.000000000000000000e+01
1.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+02,8.000000000000001554e-02,4.000000000000000000e+01,6.037383539249432766e-03,1.000000000000000000e+01
1.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+03,8.000000000000001554e-02,4.000000000000000000e+01,6.037383539249432766e-03,1.000000000000000000e+01
1.000000000000000000e+00,8.000000000000000444e-01,5.000000000000000000e+03,8.000000000000001554e-02,4.000000000000000000e+01,6.037383539249432766e-03,1.475896337349803522e+00
1.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+04,8.000000000000001554e-02,4.000000000000000000e+01,6.037383539249432766e-03,6.655703772661889506e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000056e-01,4.000000000000000000e+01,5.400000000000000286e-03,1.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000056e-01,4.000000000000000000e+01,5.400000000000000286e-03,1.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,4.000000000000000000e+01,5.400000000000000286e-03,8.966260806408712369e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+03,1.000000000000000056e-01,4.000000000000000000e+01,5.400000000000000286e-03,1.648121518830771848e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+04,1.000000000000000056e-01,4.000000000000000000e+01,5.400000000000000286e-03,1.255140189531504857e+00
1.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+01,1.300000000000000044e-01,4.000000000000000000e+01,4.736113304257958366e-03,1.000000000000000000e+01
1.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+02,1.300000000000000044e-01,4.000000000000000000e+01,4.736113304257958366e-03,1.000000000000000000e+01
1.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+03,1.300000000000000044e-01,4.000000000000000000e+01,4.736113304257958366e-03,1.000000000000000000e+01
1.000000000000000000e+00,1.300000000000000044e+00,5.000000000000000000e+03,1.300000000000000044e-01,4.000000000000000000e+01,4.736113304257958366e-03,2.148836001137755858e+00
1.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+04,1.300000000000000044e-01,4.000000000000000000e+01,4.736113304257958366e-03,1.356991653096178307e+00
1.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+01,1.600000000000000311e-01,4.000000000000000000e+01,4.269074841227312941e-03,1.000000000000000000e+01
