M_Ms log_t_yr Teff L_Ls g R_Rs Log_Li_Li0 logTc logROc Mrad Rrad k2conv k2rad
0.7 5.703957 4110.072185878637 0.258721858786375 3.4332781412136253 2.659165576359125 0.0 6.316639070606812 -0.493210602300925 0.0 0.0 0.4469927814121363 0.0
0.7 5.738317 4106.50528116632 0.23255809282951478 3.4579471883368047 2.585147872656947 0.0 6.328473594168402 -0.45727393632847335 0.0 0.0 0.44724947188336805 0.0
0.7 5.769327 4103.0 0.20907293666026866 3.4799270633397312 2.519804222648752 0.0 6.339170825335892 -0.4251021113243762 0.0 0.0 0.4475585412667946 0.0
0.7 5.797516 4099.266617754953 0.1873330887747616 3.4996669112252383 2.4627326485693324 0.0 6.348466764490095 -0.39596632428466627 0.0 0.0 0.44777333822450477 0.0
0.7 5.823296 4096.748086595233 0.16848086595232897 3.5175191340476712 2.4124502514760553 0.0 6.357259567023835 -0.3694732123332605 0.0 0.0 0.4480251913404767 0.0
0.7 5.846997 4094.523304777116 0.15123304777116306 3.5342902570059533 2.366605924205024 0.0 6.365383476114419 -0.3451785973573399 0.0 0.0 0.44814766952228835 0.0
0.7 5.868886 4092.437147403443 0.13480862143787084 3.5496285259655718 2.32592868508607 0.0 6.372814262982786 -0.3228637783885435 0.0 0.0 0.4483562852596557 0.0
0.7 5.889182 4089.943931968867 0.1197196598443354 3.5632803401556647 2.2887991496108384 0.0 6.379640170077832 -0.3021547203805129 0.0 0.0 0.4485528034015567 0.0
0.7 5.908067 4088.2259269905144 0.10612963495257283 3.576870365047427 2.2547111238861746 0.0 6.385548146018971 -0.2829040816326534 0.0 0.0 0.4486774073009485 0.0
0.7 5.925695 4086.0 0.09348330706404925 3.588516692935951 2.223359936953718 0.0 6.39160667717438 -0.2650462960309499 0.0 0.0 0.4488 0.0
0.7 5.942195 4084.3352882277213 0.08084408525246745 3.600323558861393 2.1950234587326563 0.0 6.3971617794306965 -0.24836378200543555 0.0 0.0 0.4488832355886139 0.0
