M_Ms log_t_yr Teff L_Ls g R_Rs Log_Li_Li0 logTc logROc Mrad Rrad k2conv k2rad
0.1 5.703957 2925.0 -1.154 3.41 1.033 0.0 5.904 -0.1091 0.0 0.0 0.444 0.0
0.1 5.738317 2926.0 -1.155 3.411 1.031 0.0 5.905 -0.1066 0.0 0.0 0.4441 0.0
0.1 5.769327 2926.0 -1.157 3.413 1.028 0.0 5.906 -0.1041 0.0 0.0 0.4441 0.0
0.1 5.797516 2927.0 -1.158 3.415 1.026 0.0 5.907 -0.1017 0.0 0.0 0.4442 0.0
0.1 5.823296 2928.0 -1.159 3.417 1.024 0.0 5.907 -0.0993 0.0 0.0 0.4442 0.0
0.1 5.846997 2928.0 -1.161 3.418 1.022 0.0 5.908 -0.0968 0.0 0.0 0.4443 0.0
0.1 5.868886 2929.0 -1.162 3.42 1.02 0.0 5.909 -0.0944 0.0 0.0 0.4444 0.0
0.1 5.889182 2930.0 -1.163 3.422 1.018 0.0 5.91 -0.092 0.0 0.0 0.4444 0.0
0.1 5.908067 2931.0 -1.165 3.424 1.016 0.0 5.91 -0.0895 0.0 0.0 0.4445 0.0
0.1 5.925695 2931.0 -1.166 3.425 1.014 0.0 5.911 -0.0871 0.0 0.0 0.4446 0.0
0.1 5.942195 2932.0 -1.167 3.427 1.012 0.0 5.912 -0.0847 0.0 0.0 0.4446 0.0
0.1 5.95768 2933.0 -1.168 3.429 1.01 0.0 5.912 -0.0823 0.0 0.0 0.4447 0.0
0.1 5.972245 2934.0 -1.17 3.431 1.008 0.0 5.913 -0.0799 0.0 0.0 0.4447 0.0
0.1 5.985973 2934.0 -1.171 3.432 1.006 0.0 5.914 -0.0775 0.0 0.0 0.4448 0.0
0.1 5.998937 2935.0 -1.172 3.434 1.004 0.0 5.915 -0.0752 0.0 0.0 0.4449 0.0
0.1 6.011202 2936.0 -1.174 3.436 1.002 0.0 5.915 -0.0728 0.0 0.0 0.4449 0.0
0.1 6.022824 2936.0 -1.175 3.437 1.0 0.0 5.916 -0.0704 0.0 0.0 0.445 0.0
0.1 6.033854 2937.0 -1.176 3.439 0.998 0.0 5.917 -0.0681 0.0 0.0 0.445 0.0
0.1 6.044336 2938.0 -1.177 3.441 0.996 0.0 5.918 -0.0657 0.0 0.0 0.4451 0.0
0.1 6.05431 2939.0 -1.179 3.443 0.994 0.0 5.918 -0.0634 0.0 0.0 0.4452 0.0
0.1 6.063814 2940.0 -1.18 3.444 0.992 0.0 5.919 -0.061 0.0 0.0 0.4452 0.0
0.1 6.072875 2940.0 -1.181 3.446 0.99 0.0 5.92 -0.0587 0.0 0.0 0.4453 0.0
