M_Ms log_t_yr Teff L_Ls g R_Rs Log_Li_Li0 logTc logROc Mrad Rrad k2conv k2rad
0.08 5.703957 2837.6358710376594 -1.2022717420753184 3.308589677594148 1.0380923868870224 0.0 5.816635871037659 -0.2023334191276076 0.0 0.0 0.44036358710376594 0.0
0.08 5.738317 2844.392700729927 -1.2202496350364964 3.330178102189781 1.011893430656934 0.0 5.825392700729927 -0.1724649635036495 0.0 0.0 0.44128569343065693 0.0
0.08 5.769327 2849.9957215091404 -1.2359828860365616 3.349978607545702 0.990021392454298 0.0 5.8329914430182805 -0.14612781019058746 0.0 0.0 0.4419991443018281 0.0
0.08 5.797516 2856.146241117068 -1.2492924822341354 3.3668656027926693 0.970561276648797 0.0 5.840146241117068 -0.12303202842538348 0.0 0.0 0.44271462411170676 0.0
0.08 5.823296 2861.5714543812105 -1.2600000602228243 3.381571514604035 0.9544284853959651 0.0 5.846428605841615 -0.10274274616079512 0.0 0.0 0.44325714543812106 0.0
0.08 5.846997 2866.9354401805867 -1.2698708803611738 3.394338600451467 0.9406613995485327 0.0 5.851935440180587 -0.08510659142212189 0.0 0.0 0.4437935440180587 0.0
0.08 5.868886 2871.7391304347825 -1.278478260869565 3.4053478260869565 0.9286521739130437 0.0 5.855739130434783 -0.06973478260869578 0.0 0.0 0.44417391304347825 0.0
0.08 5.889182 2875.915447482595 -1.2848731712238926 3.414788618706488 0.9182113812935123 0.0 5.859915447482595 -0.05656634042982542 0.0 0.0 0.44449577237412974 0.0
0.08 5.908067 2880.52823672174 -1.29029235508261 3.42305647344348 0.90917940819565 0.0 5.86352823672174 -0.04526246616260602 0.0 0.0 0.444852823672174 0.0
0.08 5.925695 2883.707533502354 -1.295707533502354 3.430415067004708 0.9022311662441146 0.0 5.866707533502354 -0.035583529518290545 0.0 0.0 0.44507075335023544 0.0
0.08 5.942195 2887.5788652221813 -1.2995788652221816 3.4364384869629085 0.8955615130370914 0.0 5.868859621740727 -0.027258042600073338 0.0 0.0 0.4452859621740727 0.0
0.08 5.95768 2890.304339604803 -1.3029130188144085 3.4409130188144084 0.8907826415807886 0.0 5.871304339604803 -0.020100037817906882 0.0 0.0 0.4455304339604803 0.0
0.08 5.972245 2892.3835669034365 -1.3063835669034363 3.4457671338068727 0.8859246496448455 0.0 5.872691783451718 -0.013994509502783702 0.0 0.0 0.4456691783451718 0.0
0.08 5.985973 2895.0517138894393 -1.3080517138894394 3.4490775708341586 0.8819482861105608 0.0 5.87502585694472 -0.008606914999009285 0.0 0.0 0.44580258569447195 0.0
0.08 5.998937 2897.3152436568666 -1.3106304873137333 3.4529457309706 0.8790542690294 0.0 5.876315243656867 -0.0040281715666533255 0.0 0.0 0.44593152436568667 0.0
