M_Ms log_t_yr Teff L_Ls g R_Rs Log_Li_Li0 logTc logROc Mrad Rrad k2conv k2rad
1.3 5.703957 4596.209222821545 0.6819077717845474 3.4730922282154526 3.46104953278128 0.0 6.465836891286181 -0.5698499582162118 0.0 0.0 0.4485209222821545 0.0
1.3 5.738317 4598.0 0.6574742580254391 3.498157177468201 3.3630027256208357 0.0 6.477894306480921 -0.5331799515445184 0.0 0.0 0.4487 0.0
1.3 5.769327 4599.0 0.6354052830188681 3.520594716981132 3.2772590188679254 0.0 6.488637886792453 -0.5002014490566041 0.0 0.0 0.4489 0.0
1.3 5.797516 4600.0 0.6157346570397112 3.540831678700361 3.2018059566787005 0.0 6.498699007220217 -0.4703356498194946 0.0 0.0 0.4490566335740072 0.0
1.3 5.823296 4600.0 0.5970348314606743 3.559183520599251 3.134576029962547 0.0 6.5078734082397 -0.4431430711610489 0.0 0.0 0.4492218352059925 0.0
1.3 5.846997 4600.4911154248175 0.580579961176646 3.575911154248171 3.0743020755562185 0.0 6.5159644616992685 -0.41822438405256057 0.0 0.0 0.4493491115424817 0.0
1.3 5.868886 4600.0 0.5647767857142856 3.591600892857143 3.019841071428571 0.0 6.523489285714286 -0.39528749999999985 0.0 0.0 0.44946223214285713 0.0
1.3 5.889182 4600.0 0.5507074653421308 3.6056632811920823 2.9702346356290312 0.0 6.530517013863148 -0.3740275261324043 0.0 0.0 0.4495629253465787 0.0
1.3 5.908067 4599.4733303782505 0.536733303782506 3.619266696217494 2.9251465721040195 0.0 6.537106678486998 -0.3543739583333335 0.0 0.0 0.44965266696217493 0.0
1.3 5.925695 4599.0 0.5247297496318116 3.6312702503681886 2.883862223858616 -0.00013081001472753663 6.543308100147275 -0.33608894698085434 0.0 0.0 0.44973270250368186 0.0
1.3 5.942195 4598.959045871559 0.5125904587155965 3.643368587155963 2.845730422018349 -0.0004 6.549163816513762 -0.318922546788991 8.600366972474404e-05 0.007388124770639917 0.449804095412844 6.528088073392475e-05
1.3 5.95768 4598.0 0.5015830647524173 3.6537711690594783 2.810686492821565 -0.0004 6.554062701435687 -0.3028849399355408 0.0023125402871374003 0.1861385877527098 0.4499 0.0017392358628772234
1.3 5.972245 4598.0 0.4915704045058883 3.6644295954941115 2.777968253968254 -0.0004 6.558971838197644 -0.2877499743983614 0.007157757296467015 0.2647293906810042 0.44997429595494115 0.004475083461341549
1.3 5.985973 4597.0 0.48154560046694833 3.6734543995330515 2.747636801400845 -0.0004 6.563472639719832 -0.27341475266306664 0.009681759813220657 0.2960758062162573 0.45 0.005828243105209484
1.3 5.998937 4596.310206755969 0.47210206755969736 3.682897932440303 2.719306202679092 -0.0007448966220151311 6.567759172976121 -0.25986697728596425 0.01614936662783907 0.34698065666860667 0.45 0.008948969496214241
1.3 6.011202 4595.918226672471 0.46326404005224187 3.6908177332752867 2.692628573501668 -0.0009 6.571327093310114 -0.24691428675083407 0.023146009287476604 0.39125014511681994 0.45 0.0121796647801481
