M_Ms log_t_yr Teff L_Ls g R_Rs Log_Li_Li0 logTc logROc Mrad Rrad k2conv k2rad
0.3 5.703957 3460.0 -0.20618952483801306 3.2308246040316777 2.197891108711303 0.0 6.045094762419006 -0.5974171256299494 0.0 0.0 0.4407729841612671 0.0
0.3 5.738317 3459.0 -0.22606603871234876 3.2501994617534415 2.1500013456163956 0.0 6.0545997308767205 -0.5701340958492908 0.0 0.0 0.44118665769589066 0.0
0.3 5.769327 3457.0 -0.24890234971010006 3.2719023497101 2.096219713152275 0.0 6.06495117485505 -0.5388306072627411 0.0 0.0 0.44169877937137625 0.0
0.3 5.797516 3455.0 -0.27345347394540903 3.295625310173697 2.038608560794046 0.0 6.0763126550868485 -0.5039823200992563 0.0 0.0 0.44226563275434244 0.0
0.3 5.823296 3452.584084520694 -0.299575070272366 3.32115915479306 1.981018028496656 0.0 6.08807957739653 -0.4679028593583406 0.0 0.0 0.4427831830958612 0.0
0.3 5.846997 3450.346677864875 -0.32518654348637566 3.345186543486376 1.9273202687569986 0.0 6.09991993281075 -0.4333735069055616 0.0 0.0 0.443330664427025 0.0
0.3 5.868886 3447.4029273392575 -0.3479707266074225 3.36637365394668 1.879058546785155 0.0 6.109985363303712 -0.4020395190799796 0.0 0.0 0.4437194145321484 0.0
0.3 5.889182 3445.3040623717684 -0.3689593762823139 3.3862634386540824 1.8370812474353722 0.0 6.1194796881411575 -0.37370484201887616 0.0 0.0 0.4441391875256463 0.0
0.3 5.908067 3442.388161868331 -0.3881183813166901 3.404506543185021 1.79976323736662 0.0 6.128059190658345 -0.3477790014093015 0.0 0.0 0.4444611838131669 0.0
0.3 5.925695 3439.6305185185183 -0.4056948148148148 3.420694814814815 1.765979851851852 0.0 6.135847407407407 -0.32411200000000007 0.0 0.0 0.44477389629629627 0.0
0.3 5.942195 3437.0201585282316 -0.4228891280947253 3.435909286622957 1.735191506018202 0.0 6.142959682943537 -0.30223607006556436 0.0 0.0 0.44509798414717683 0.0
0.3 5.95768 3435.026414369417 -0.4378679281529151 3.449867928152915 1.7077509365094614 0.0 6.149947171261166 -0.2820769762750938 0.0 0.0 0.4452973585630583 0.0
0.3 5.972245 3432.244765892653 -0.4517761705367337 3.4628985534830603 1.6822028930338793 0.0 6.156388085268367 -0.2634399314807769 0.0 0.0 0.4455755234107347 0.0
0.3 5.985973 3430.65530161109 -0.46506819033345875 3.474723491944549 1.6588977144998118 0.0 6.1616893967778195 -0.24609052079430438 0.0 0.0 0.44583446983889097 0.0
0.3 5.998937 3428.23888372093 -0.47780558139534873 3.485925023255814 1.638030511627907 0.0 6.1674027906976745 -0.22998857674418616 0.0 0.0 0.446076111627907 0.0
0.3 6.011202 3426.0 -0.4891110095934218 3.497111009593422 1.6177903152124256 0.0 6.172049337597076 -0.21483471904979418 0.0 0.0 0.4462024668798538 0.0
0.3 6.022824 3426.0737578344992 -0.4986638205104913 3.506663820510491 1.5997461168135165 0.0 6.176368789172495 -0.20061902080116287 0.0 0.0 0.4464147515668998 0.0
0.3 6.033854 3427.0752348265896 -0.5076771134393064 3.515752348265896 1.5827210079479768 0.0 6.181300939306358 -0.18729185332369935 0.0 0.0 0.446607523482659 0.0
0.3 6.044336 3428.0 -0.51617497749775 3.5251749774977497 1.5666500450045 0.0 6.1850874887488745 -0.17460691269126888 0.0 0.0 0.4467043744374437 0.0
0.3 6.05431 3428.41733058813 -0.5237559752931696 3.5331733058812995 1.5519053800017908 0.0 6.18908665294065 -0.1626077701190586 0.0 0.0 0.44688346611762597 0.0
0.3 6.063814 3429.2667200997416 -0.5314004808976753 3.5414004808976753 1.537465758304391 0.0 6.193066880398967 -0.15122595066346115 0.0 0.0 0.44705334401994834 0.0
0.3 6.072875 3430.073179364658 -0.5386586142819221 3.548658614281922 1.5238291301654718 0.0 6.196292717458632 -0.14041939651358276 0.0 0.0 0.4472146358729316 0.0
0.3 6.081531 3430.8391292805945 -0.5455521635253517 3.5555521635253515 1.5115739315104857 0.0 6.199356517122379 -0.1301556676400319 0.0 0.0 0.44736782585611895 0.0
0.3 6.089803 3431.068484742196 -0.5526163626797614 3.562616362679761 1.4999042441248684 0.0 6.203273938968783 -0.12038230445457741 0.0 0.0 0.4474136969484392 0.0
0.3 6.097715 3431.7622763942477 -0.5588604875482289 3.568860487548229 1.4888035776920376 0.0 6.206049105576991 -0.11108549631708142 0.0 0.0 0.4475524552788495 0.0
0.3 6.105296 3432.0 -0.564820939761137 3.5748209397611372 1.4782072182024233 0.0 6.2086981954493945 -0.10221104524452936 0.0 0.0 0.4476849097724697 0.0
0.3 6.112558 3432.0 -0.5705155112651646 3.5805727902946276 1.468140814558059 0.0 6.211286395147314 -0.09372673310225302 0.0 0.0 0.44780572790294626 0.0
0.3 6.119523 3432.0 -0.5759474870017331 3.5866083188908147 1.459087521663778 0.0 6.214304159445407 -0.08557876949740027 0.0 0.0 0.44786608318890814 0.0
0.3 6.126209 3432.0 -0.5813917169974118 3.5919133735979294 1.450173252804141 0.0 6.216956686798965 -0.07779509922346825 0.0 0.0 0.4479478343399482 0.0
0.3 6.132634 3432.2921676399865 -0.5866295087598766 3.596921676399863 1.4413253177602192 0.0 6.219168670559945 -0.07038495362418358 0.0 0.0 0.4480584335279973 0.0
0.3 6.138808 3432.822397801443 -0.5914015802129855 3.6022239780144285 1.4328416351769144 0.0 6.221289591205772 -0.06327986946066598 0.0 0.0 0.44816447956028854 0.0
0.3 6.144749 3433.0 -0.5959761782786888 3.606976178278689 1.425039702868852 0.0 6.22332274590164 -0.05643573258196675 0.0 0.0 0.448233068647541 0.0
0.3 6.150465 3433.0 -0.6003685963114753 3.6113685963114754 1.417719006147541 0.0 6.225274931693989 -0.04984710553278696 0.0 0.0 0.4482818732923497 0.0
0.3 6.15597 3433.0 -0.604583213103624 3.615583213103624 1.4106946448272935 0.0 6.227435118390902 -0.0435538827123821 0.0 0.0 0.44835740473563607 0.0
0.3 6.161278 3433.0 -0.6086375286429604 3.6196375286429605 1.4039374522617325 0.0 6.229687515912755 -0.03751745735381448 0.0 0.0 0.44844750063651023 0.0
0.3 6.166395 3433.0 -0.6127111937774768 3.623711193777477 1.3976043287115323 0.0 6.23168447751099 -0.03170700033818097 0.0 0.0 0.44853422387554953 0.0
0.3 6.171331 3433.0 -0.6167925576696417 3.6277925576696415 1.391679070550597 0.0 6.2333522478531735 -0.026111163495537378 0.0 0.0 0.44860880619632937 0.0
0.3 6.176097 3433.0 -0.6204037716787342 3.631403771678734 1.385660380535443 0.0 6.234957231857215 -0.02069434248189879 0.0 0.0 0.44864893079643037 0.0
0.3 6.180699 3433.0 -0.6238907223438287 3.6348907223438287 1.3798487960936188 0.0 6.236506987708369 -0.015463916484256972 0.0 0.0 0.4486876746927092 0.0
0.3 6.185145 3433.0 -0.627496860085406 3.638496860085406 1.374254709871891 0.0 6.238248430042703 -0.010454207485555984 0.0 0.0 0.44872496860085404 0.0
0.3 6.189445 3433.0 -0.6310972954868963 3.6420972954868964 1.3688540567696554 0.0 6.240048647743448 -0.005629624047558948 0.0 0.0 0.44876097295486894 0.0
0.3 6.193603 3433.0 -0.6345788327890821 3.645578832789082 1.3636317508163769 0.0 6.241789416394541 -0.0009643640626300111 0.0 0.0 0.4487957883278908 0.0
0.3 6.197628 3433.0 -0.6373491745872936 3.6483491745872936 1.3588889444722363 0.0 6.243174587293646 0.0035935967983990163 0.0 0.0 0.44885872936468235 0.0
0.3 6.20152 3433.0 -0.640177203622165 3.651177203622165 1.3542341945667524 0.0 6.244470881448866 0.007977452853701168 0.0 0.0 0.44892354407244334 0.0
0.3 6.205294 3433.0 -0.6433125363462658 3.654312536346266 1.3495311954806013 0.0 6.245725014538507 0.012178798703996237 0.0 0.0 0.44898625072692533 0.0
0.3 6.208946 3433.0 -0.6463465149123537 3.6573465149123536 1.3449802276314695 0.0 6.246938605964941 0.016244329982553957 0.0 0.0 0.4490469302982471 0.0
0.3 6.212489 3432.9711451012813 -0.6492596940884663 3.660259694088466 1.3405960314179413 0.0 6.248115419594874 0.020189541132699378 0.0 0.0 0.4491028854898719 0.0
0.3 6.215923 3432.6872261264984 -0.6518149648615131 3.6628149648615134 1.3366211657709794 0.0 6.249251095494006 0.024022447292269742 0.0 0.0 0.44913127738735015 0.0
0.3 6.219254 3432.411823067383 -0.6542935923935512 3.6652935923935512 1.3327655229433646 0.0 6.2503527077304675 0.027740388590326882 0.0 0.0 0.44915881769326166 0.0
0.3 6.222488 3432.144439851178 -0.6567000413393965 3.6677000413393968 1.3290221579164943 0.0 6.2514222405952875 0.0313500620090948 0.0 0.0 0.4491855560148822 0.0
0.3 6.225625 3432.0 -0.6591453526697427 3.670145352669743 1.32539650626236 0.0 6.252687211601845 0.03483477257745527 0.0 0.0 0.44922290705339485 0.0
0.3 6.228672 3432.0 -0.6616560646011869 3.6726560646011865 1.3218815095583385 0.0 6.254193638760712 0.03819912656559028 0.0 0.0 0.44927312129202374 0.0
0.3 6.23163 3432.0 -0.6639804613742714 3.6749804613742714 1.3184748378622446 0.0 6.255435760610787 0.04147069206140695 0.0 0.0 0.4493108940152697 0.0
0.3 6.234507 3432.0 -0.6661061489204496 3.6771061489204495 1.3151682127904119 0.0 6.256380510631311 0.044659223380674434 0.0 0.0 0.4493345127657828 0.0
0.3 6.237302 3432.0 -0.6681712503078562 3.679171250307856 1.311955832854446 0.0 6.257298333470159 0.04775687546178423 0.0 0.0 0.44935745833675395 0.0
0.3 6.24002 3432.0 -0.6701794598144654 3.681179459814465 1.3088319513997206 0.0 6.258190871028652 0.050769189721697944 0.0 0.0 0.4493797717757163 0.0
0.3 6.250178 3431.371045532576 -0.6782895446742416 3.6886605902068177 1.2971946374560617 0.0 6.261515817869697 0.06199088531022618 0.0 0.0 0.4495257908934848 0.0
0.3 6.259319 3431.0 -0.6857499999999996 3.69575 1.2867500000000005 0.0 6.2645 0.07202499999999952 0.0 0.0 0.4496 0.0
0.3 6.269532 3430.2949634443544 -0.6940503655564579 3.703345329000812 1.2751294882209587 0.0 6.2685251827782285 0.08321799350121818 0.0 0.0 0.44974100731112915 0.0
0.3 6.280296 3429.0 -0.7017753816331476 3.7116978434698327 1.2639144657135932 0.0 6.272310152653259 0.09494676520474925 0.0 0.0 0.4499077538163315 0.0
0.3 6.289723 3429.0 -0.7093894677328165 3.718550520959535 1.2532547451740566 0.0 6.275355787093127 0.10522578143930242 0.0 0.0 0.4499838946773282 0.0
0.3 6.299337 3428.3868190230946 -0.7171318097690516 3.7255186287921465 1.243028647300233 0.0 6.278452723907621 0.11561662509052906 0.0 0.0 0.450122636195381 0.0
0.3 6.309952 3427.067587092631 -0.7256620645368436 3.7336620645368437 1.231473109648419 0.0 6.281864825814737 0.12704716647937048 0.0 0.0 0.45029324129073683 0.0
0.3 6.319012 3426.3082712787254 -0.7329172872127472 3.7402255584914723 1.2220075266234287 0.0 6.285458643606374 0.1367691648650812 0.0 0.0 0.45036917287212747 0.0
