M_Ms log_t_yr Teff L_Ls g R_Rs Log_Li_Li0 logTc logROc Mrad Rrad k2conv k2rad
0.09 5.703957 2863.8031044699214 -1.1344749452531235 3.3074093134097637 1.1017875821203145 0.0 5.840737472626562 -0.22704665077933814 0.0 0.0 0.4402803104469922 0.0
0.09 5.738317 2869.1754664065356 -1.1517018656261433 3.327877332032679 1.0761226679673208 0.0 5.848526399219607 -0.19947701499817058 0.0 0.0 0.4410350932813072 0.0
0.09 5.769327 2873.874504315372 -1.165498017261488 3.34537252157686 1.054752974107768 0.0 5.8557490086307435 -0.17589062281315626 0.0 0.0 0.4417749008630744 0.0
0.09 5.797516 2879.081536315846 -1.177163072631692 3.360163072631692 1.0377553910524624 0.0 5.862081536315846 -0.15574316060508542 0.0 0.0 0.4423081536315846 0.0
0.09 5.823296 2883.4714227807053 -1.1869428455614104 3.372678556951763 1.0225857316578841 0.0 5.867471422780706 -0.13876501824077853 0.0 0.0 0.44277357113903526 0.0
0.09 5.846997 2888.0541568556423 -1.1950812352834632 3.383108313711284 1.0108375294330736 0.0 5.872027078427821 -0.12443211374750948 0.0 0.0 0.4432054156855642 0.0
0.09 5.868886 2890.96360335437 -1.2018544134174807 3.391818016771851 1.000181983228149 0.0 5.87492720670874 -0.11252201953834194 0.0 0.0 0.44349636033543705 0.0
0.09 5.889182 2894.4761065067887 -1.2072141597601833 3.398952213013578 0.9920477869864223 0.0 5.878476106506788 -0.10241451243167003 0.0 0.0 0.44377380532533944 0.0
0.09 5.908067 2897.4306224443435 -1.2112918673330304 3.404722489777374 0.9852775102226261 0.0 5.880861244888687 -0.09397607451158571 0.0 0.0 0.44404306224443435 0.0
0.09 5.925695 2900.049427874695 -1.2150988557493905 3.4101482836240855 0.9788517163759145 0.0 5.883049427874695 -0.0868022885012193 0.0 0.0 0.4442049427874695 0.0
0.09 5.942195 2901.6067683508104 -1.2182135367016207 3.4142135367016206 0.9741796949475692 0.0 5.88460676835081 -0.080815633937083 0.0 0.0 0.444360676835081 0.0
0.09 5.95768 2903.1023645320197 -1.2212047290640393 3.4182047290640396 0.9697952709359606 0.0 5.88610236453202 -0.07567243349753706 0.0 0.0 0.444510236453202 0.0
0.09 5.972245 2904.54632875889 -1.2235463287588901 3.4210926575177805 0.9663610137233296 0.0 5.88754632875889 -0.0712156465992186 0.0 0.0 0.4446 0.0
0.09 5.985973 2905.9372389200203 -1.2249372389200204 3.4238744778400405 0.9631255221599592 0.0 5.888937238920021 -0.06736945491594495 0.0 0.0 0.444693723892002 0.0
0.09 5.998937 2907.238457456218 -1.227238457456218 3.426476914912436 0.9605230850875641 0.0 5.890238457456218 -0.06403231912258989 0.0 0.0 0.4448 0.0
